Store,Family,Category,RMSLE Naive,RMSLE Individual LSTM,RMSLE Simple UV,RMSLE Complex UV,RMSLE Simple MV,RMSLE Complex MV,Best Model,Best RMSLE,Improvement vs Naive (%)
23,EGGS,Smooth,0.485,0.4398,0.410056,0.317997,0.389069,0.378104,Complex UV,0.317997,34.4
54,MEATS,Smooth,0.462,0.413,0.409536,0.325651,0.383533,0.382507,Complex UV,0.325651,29.5
19,PREPARED FOODS,Smooth,0.458,0.4218,0.417851,0.358183,0.398072,0.393588,Complex UV,0.358183,21.8
7,SEAFOOD,Smooth,0.491,0.4415,0.421428,0.382132,0.378754,0.390601,Simple MV,0.378754,22.9
23,PREPARED FOODS,Smooth,0.472,0.4684,0.426994,0.391413,0.410586,0.404219,Complex UV,0.391413,17.1
44,GROCERY I,Smooth,0.892,0.7924,0.776069,0.668183,0.763329,0.761163,Complex UV,0.668183,25.1
44,HARDWARE,Erratic,0.684,0.631,0.597321,0.59595,0.574267,0.601433,Simple MV,0.574267,16.0
44,LAWN AND GARDEN,Erratic,0.672,0.628,0.597753,0.586546,0.566713,0.588782,Simple MV,0.566713,15.7
